,,,,,,
,Away_Team,Home_Team,Away_Score,Home_Score,,
,DL,KC,21,20,,
,ATL,CAR,10,24,,
,CIN,CLE,3,24,,
,JAX,IND,31,21,,
,TB,MIN,20,17,,
,TEN,NO,15,16,,
,SF,PIT,30,7,,
,ARI,WAS,16,20,,
,HOU,BAL,9,25,,
,GB,CHI,38,20,,
,LAV,DEN,17,16,,
,PHI,NE,25,20,,
,MIA,LAC,36,34,,
,LAR,SEA,30,13,,
,DAL,NYG,40,0,,
,BUF,NYJ,16,22,,
,MIN,PHI,28,34,,
,GB,ATL,24,25,,
,LAV,BUF,10,38,,
,BAL,CIN,27,24,,
,SEA,DL,37,31,,
,LAC,TEN,24,27,,
,CHI,TB,17,27,,
,KC,JAX,17,9,,
,IND,HOU,31,20,,
,SF,LAR,30,23,,
,NYG,ARI,31,28,,
,NYJ,DAL,10,30,,
,WAS,DEN,35,33,,
,MIA,NE,24,17,,
,NO,CAR,20,17,,
,CLE,PIT,22,26,,
,NYG,SF,12,30,,
,TEN,CLE,3,27,,
,ATL,DL,6,20,,
,NO,GB,17,18,,
,DEN,MIA,20,70,,
,LAC,MIN,28,24,,
,NE,NYJ,15,10,,
,BUF,WAS,37,3,,
,HOU,JAX,37,17,,
,IND,BAL,22,19,,
,CAR,SEA,27,37,,
,CHI,KC,10,41,,
,DAL,ARI,16,28,,
,PIT,LAV,23,18,,
,PHI,TB,25,11,,
,LAR,CLE,16,19,,
,DL,GB,34,20,,
,ATL,JAX,7,23,,
,MIA,BUF,20,48,,
,DEN,CHI,31,28,,
,BAL,CLE,28,3,,
,CLE,TEN,3,27,,
,LAR,IND,29,23,,
,TB,NO,26,9,,
,WAS,PHI,31,34,,
,MIN,CAR,21,13,,
,PIT,HOU,6,30,,
,LAV,LAC,17,24,,
,NE,DAL,3,38,,
,ARI,SF,16,34,,
,KC,NYJ,23,20,,
,SEA,NYG,24,3,,
,CHI,WAS,40,20,,
,JAX,BUF,25,20,,
,HOU,ATL,19,21,,
,CAR,DL,24,42,,
,TEN,IND,16,23,,
,NYG,MIA,16,31,,
,NO,NE,34,0,,
,BAL,PIT,10,17,,
,PHI,LAR,23,14,,
,CIN,ARI,34,20,,
,NYJ,DEN,31,21,,
,KC,MIN,27,20,,
,DAL,SF,10,42,,
,GB,LAV,13,17,,
,DEN,KC,8,19,,
,BAL,TEN,24,16,,
,WAS,ATL,24,16,,
,MIN,CHI,19,13,,
,SEA,CIN,13,17,,
,SF,CLE,17,19,,
,CAR,MIA,21,42,,
,IND,JAX,20,37,,
,NO,HOU,13,20,,
,NE,LAV,17,21,,
,ARI,LAR,9,26,,
,PHI,NYJ,14,20,,
,DL,TB,20,6,,
,NYG,BUF,9,14,,
,DAL,LAC,20,17,,
,JAX,NO,31,24,,
,LAV,CHI,12,30,,
,BLE,IND,39,38,,
,BUF,NE,25,29,,
,WAS,NYG,7,14,,
,ATL,TB,16,13,,
,DL,BAL,6,38,,
,PIT,LAR,24,17,,
,ARI,SEA,10,20,,
,GB,DEN,17,19,,
,LAC,KC,17,31,,
,MIA,PHI,17,31,,
,SF,MIN,17,22,,
,TB,BUF,18,24,,
,LAR,DAL,20,43,,
,MIN,GB,24,10,,
,ATL,TEN,23,28,,
,NO,IND,38,27,,
,NE,MIA,17,31,,
,NYJ,NYG,13,10,,
,JAX,PIT,20,10,,
,PHI,WAS,38,31,,
,HOU,CAR,13,15,,
,CLE,SEA,20,24,,
,KC,DEN,9,24,,
,BAL,ARI,31,24,,
,CIN,SF,31,17,,
,CHI,LAC,13,30,,
,LAV,DL,14,26,,
,TEN,PIT,16,20,,
